HON
UTX
LMT
DHR
GD
GM
CAT
F
NOC
DE
CRH
FCAU
PH
IR
MGA
RACE
CNHI
TXT
WAT
MTD
CX
DHI
TDG
ARNC
VEDL
LEA
SNA
HII
BWA
ALV
LPL
XYL
ST
PHM
NVR
WAB
LII
SPR
IEX
GGB
JHX
OC
HUBB
KEYS
TTC
AA
BIO
TER
DCI
ALSN
OA
TOL
HEI
MSM
PII
GGG
OSK
USG
SID
CFX
EXP
AGCO
TDY
CR
ERJ
CAA
TRN
EME
TEN
TKR
VC
WOR
TEX
KMT
DAN
B
NAV
ESL
AVX
TMHC
VSH
WTS
SSD
CPS
TPH
CPAC
MWA
MLI
HW
MRC
REVG
MEI
AJRD
KBH
MPG
AXL
MDC
MTOR
MTH
PRLB
FIX
WNC
GBX
VSTO
AIR
WAIR
GFF
NCS
SMP
CBPX
BMI
HSC
RGR
CIR
HY
LDL
ALG
LNN
MTW
BRSS
NX
RTEC
PLOW
MTRN
NPK
SUP
WLH
TOWR
