0_logit,0_rf,0_xgb,1_logit,1_rf,1_xgb,0_avg,1_avg,Pred
0.898518811601,0.833333333333,0.935117304325,0.101481188399,0.166666666667,0.0648826956749,0.88898981642,0.11101018358,0
0.565676496623,0.561,0.365111410618,0.434323503377,0.439,0.634888589382,0.497262635747,0.502737364253,1
0.657886240944,0.851,0.979752540588,0.342113759056,0.149,0.0202474445105,0.829546260511,0.170453734522,0
0.202598932151,0.1,0.00786060094833,0.797401067849,0.9,0.992139399052,0.103486511033,0.896513488967,1
0.796853920528,0.69,0.823550701141,0.203146079472,0.31,0.176449269056,0.77013487389,0.229865116176,0
0.390675235979,0.66,0.0622320771217,0.609324764021,0.34,0.937767922878,0.370969104367,0.629030895633,1
0.993622035034,0.9,0.995655059814,0.00637796496582,0.1,0.00434493739158,0.96309236495,0.0369076341191,0
0.884312355866,0.652333333333,0.868250370026,0.115687644134,0.347666666667,0.131749600172,0.801632019742,0.198367970324,0
0.413606633483,0.298333333333,0.135809004307,0.586393366517,0.701666666667,0.864190995693,0.282582990374,0.717417009626,1
0.946355859026,0.381333333333,0.169758737087,0.0536441409738,0.618666666667,0.830241262913,0.499149309816,0.500850690184,1
0.863986377711,0.848,0.927448689938,0.136013622289,0.152,0.0725513249636,0.879811689216,0.120188315751,0
0.865722373874,0.796555555556,0.981122910976,0.134277626126,0.203444444444,0.0188770722598,0.881133613469,0.118866380943,0
0.704073655542,0.774666666667,0.973941504955,0.295926344458,0.225333333333,0.0260585080832,0.817560609055,0.182439395291,0
0.812137605232,0.761666666667,0.977210283279,0.187862394768,0.238333333333,0.022789735347,0.850338185059,0.149661821149,0
0.0531382040889,0.211,0.121454894543,0.946861795911,0.789,0.878545105457,0.128531032877,0.871468967123,1
0.868269275324,0.888,0.995694994926,0.131730724676,0.112,0.0043050237,0.917321423417,0.0826785827918,0
0.917306550909,0.851333333333,0.989741921425,0.0826934490908,0.148666666667,0.0102580673993,0.919460601889,0.0805393943856,0
0.313331340628,0.481333333333,0.862822413445,0.686668659372,0.518666666667,0.137177601457,0.552495695802,0.447504309165,0
0.401030577682,0.595,0.32818710804,0.598969422318,0.405,0.67181289196,0.441405895241,0.558594104759,1
