Company,Period,NewR,CurrR,Date,Symbol
RAIT Financial Trust,2016,(-0.30) - (-0.23), (-0.59) - (-0.49),2016-08-05,RAS
Cognizant Technology Solutions Corp.,FY16,$13.47 - $13.60 Bln, $13.65 - $14.0 Bln,2016-08-05,CTSH
Acxiom Corp,FY17,$850 Mln - $870 Mln, $870 Mln - $890 Mln,2016-08-04,ACXM
Fluor Corp.,2016,3.25 - 3.50, 3.25 - 3.65,2016-08-04,FLR
Ametek Inc.,FY16,2.28 - 2.32, 2.42 - 2.52,2016-08-04,AME
Henry Schein Inc.,FY16,6.55 - 6.60, 6.55 - 6.65,2016-08-04,HSIC
ITT Corporation,2016,2.34 - 2.46 , 2.42 - 2.68 ,2016-08-04,ITT
Maximus Inc,FY16,$2.375 - $2.400 Bln, $2.4 - $2.5 Bln,2016-08-04,MMS
Quanta Services Inc.,2016,1.52 - 1.67 , 1.61 - 1.81,2016-08-04,PWR
Cubic Corp.,2016,0.85 - 1.05, 1.20 - 1.40,2016-08-03,CUB
AmSurg Corp.,2016,$3.05 Bln - $3.09 Bln, $3.09 Bln - $3.13 Bln,2016-08-02,AMSG
Cerner Corp,2016,$4.9 Bln - $5.0 Bln, $4.9 Bln - $5.1 Bln,2016-08-02,CERN
Stoneridge Inc.,2016,$705 - $715 Mln, $726 - $736 Mln,2016-08-02,SRI
Ecolab Inc.,FY16,4.35 - 4.50, 4.35 - 4.55,2016-08-02,ECL
Pitney-Bowes,FY16,1.75 - 1.82, 1.80 - 2.00,2016-08-02,PBI
Quad/Graphics,2016,$4.35 Bln - $4.45 Bln, $4.4 Bln - $4.6 Bln,2016-08-01,QUAD
Arctic Cat Inc,2017,(-0.70) - (-1.00), (-0.39) - (-0.08),2016-07-29,ACAT
Dril-Quip Inc.,FY16,2.05 - 2.25, 2.45 - 2.65,2016-07-29,DRQ
Cigna Corp.,2016,7.75 - 8.10, 8.95 - 9.35,2016-07-29,CI
Quality Systems,2017,0.75 - 0.81, 0.78 - 0.86,2016-07-28,QSII
Quality Systems,2017,$494 - $510 Mln, $508 - $522 Mln,2016-07-28,QSII
The Brink`s Co,2016,1.95 - 2.10 , 2.00 - 2.20 ,2016-07-28,BCO
Penn National Gaming Inc,2016,$3.03 Bln, $3.05 Bln,2016-07-28,PENN
Alexion Pharmaceuticals Inc.,FY16,4.50 - 4.65, 5.00 - 5.20,2016-07-28,ALXN
Thermo Fisher Scientific,2016,$17.84 - $18.00 Bln, $17.86 - $18.04 Bln,2016-07-28,TMO
Kirby Corp,2016,2.40 - 2.70, 2.80 - 3.20,2016-07-27,KEX
Conmed Corp.,2016,1.83 - 1.93, 1.95 - 2.05,2016-07-27,CNMD
Curtiss-Wright Corp.,2016,$2.12 Bln - $2.17 Bln, $2.17 Bln - $2.22 Bln,2016-07-27,CW
Conmed Corp.,2016,$757 - $767 Mln, $768 - $778 Mln,2016-07-27,CNMD
Service Corp. International,2016,1.20 - 1.30, 1.20 - 1.38,2016-07-27,SCI
DHI Group Inc.,FY16,$233.0 - $237.0 Mln, $240.0 - $246.0 Mln,2016-07-27,DHX
Rockwell Automation  Inc.,2016,5.80 - 6.00, 5.75 - 6.15,2016-07-27,ROK
The Boeing Co.,2016,6.10 - 6.30, 8.15 - 8.35,2016-07-27,BA
Flir Systems Inc.,2016,1.60 - 1.65 , 1.60 - 1.70,2016-07-27,FLIR
Gildan Activewear Inc.,2016,1.50 - 1.55 , 1.50 - 1.60 ,2016-07-27, GIL
Wyndham Worldwide,FY16,$5.650 - $5.800 Bln, $5.800 - $5.950 Bln,2016-07-27,WYN
"Hilton Worldwide Holdings, Inc.",2016,0.87 - 0.91, 0.92 - 0.98,2016-07-27,HLT
3M Co.,FY16,8.15 - 8.30, 8.10 - 8.45,2016-07-26,MMM
Gilead Sciences Inc.,2016,$29.5 - $30.5 Bln, $30.0 - $31.0 Bln,2016-07-25,GILD
Rockwell Collins,FY16,$5.3 Bln, $5.3 - $5.4 Bln,2016-07-25,COL
